step,target_width,target_x,target_y,fixate_x,fixate_y,episode
0.0,0.15,0.06414962203309098,-0.09282954521216029,-1.0,-1.0,0.0
1.0,0.15,0.06414962203309098,-0.09282954521216029,0.022952957267056928,-0.006057112040038275,0.0
2.0,0.15,0.06414962203309098,-0.09282954521216029,0.04155284368127787,-0.09377532502789823,0.0
0.0,0.15,-0.6019876004334083,-0.01653672263142971,-1.0,-1.0,1.0
1.0,0.15,-0.6019876004334083,-0.01653672263142971,0.0517793655965969,-0.0027747333854521543,1.0
2.0,0.15,-0.6019876004334083,-0.01653672263142971,-0.46166395072500815,-0.04279898880266997,1.0
3.0,0.15,-0.6019876004334083,-0.01653672263142971,-0.6167801155204129,-0.01282450722378098,1.0
0.0,0.15,0.2735984614270531,0.07705367206811643,-1.0,-1.0,2.0
1.0,0.15,0.2735984614270531,0.07705367206811643,0.06467241975995563,0.01139736623678792,2.0
2.0,0.15,0.2735984614270531,0.07705367206811643,0.2567464278578047,0.09175435009612219,2.0
0.0,0.15,-0.4091416057153972,0.19017308200151792,-1.0,-1.0,3.0
1.0,0.15,-0.4091416057153972,0.19017308200151792,0.04194268164996753,0.01701461828107996,3.0
2.0,0.15,-0.4091416057153972,0.19017308200151792,-0.3241411211315401,0.2637026101099477,3.0
3.0,0.15,-0.4091416057153972,0.19017308200151792,-0.44797239496562263,0.251710953880758,3.0
0.0,0.15,-0.43270166291918166,0.17741346914408665,-1.0,-1.0,4.0
1.0,0.15,-0.43270166291918166,0.17741346914408665,0.06365889434067198,0.008223384887533575,4.0
2.0,0.15,-0.43270166291918166,0.17741346914408665,-0.2806227767187054,0.2571779935728619,4.0
3.0,0.15,-0.43270166291918166,0.17741346914408665,-0.4115424460223932,0.2277943909412183,4.0
0.0,0.15,-0.23129327102684388,0.4138951414435922,-1.0,-1.0,5.0
1.0,0.15,-0.23129327102684388,0.4138951414435922,0.0336275538898401,0.009590282598844277,5.0
2.0,0.15,-0.23129327102684388,0.4138951414435922,-0.15376627437176435,0.3822021336329997,5.0
3.0,0.15,-0.23129327102684388,0.4138951414435922,-0.2845421921926004,0.4287584537408162,5.0
0.0,0.15,0.13119399718688762,-0.2760649421438989,-1.0,-1.0,6.0
1.0,0.15,0.13119399718688762,-0.2760649421438989,0.05725105287474052,-0.018994036110992575,6.0
2.0,0.15,0.13119399718688762,-0.2760649421438989,0.1561455574500748,-0.28200717375522844,6.0
0.0,0.15,0.05492472079290004,-0.1091640358530668,-1.0,-1.0,7.0
1.0,0.15,0.05492472079290004,-0.1091640358530668,0.07426093370549192,0.0007454376495246442,7.0
2.0,0.15,0.05492472079290004,-0.1091640358530668,0.039504127171326134,-0.1235305008939485,7.0
0.0,0.15,-0.09426987324585008,0.44388258583777,-1.0,-1.0,8.0
1.0,0.15,-0.09426987324585008,0.44388258583777,0.02245436246505295,0.0006928245864493396,8.0
2.0,0.15,-0.09426987324585008,0.44388258583777,-0.1585791253892003,0.46898011871891543,8.0
0.0,0.15,0.1788326944590339,-0.10607480320702313,-1.0,-1.0,9.0
1.0,0.15,0.1788326944590339,-0.10607480320702313,0.03230664141133567,0.0164669214868451,9.0
2.0,0.15,0.1788326944590339,-0.10607480320702313,0.20853109964240588,-0.1549831528301417,9.0
0.0,0.15,0.297092196113112,0.21844844944428302,-1.0,-1.0,10.0
1.0,0.15,0.297092196113112,0.21844844944428302,0.040204626309107525,-0.008753829929950116,10.0
2.0,0.15,0.297092196113112,0.21844844944428302,0.22202757522189964,0.21357752121546333,10.0
3.0,0.15,0.297092196113112,0.21844844944428302,0.3014779727637586,0.23356455635149298,10.0
0.0,0.15,-0.0010135714283298935,0.03252154433349142,-1.0,-1.0,11.0
1.0,0.15,-0.0010135714283298935,0.03252154433349142,0.032673756789997545,0.006636726653141751,11.0
0.0,0.15,0.14311920421285432,-0.1904122733975137,-1.0,-1.0,12.0
1.0,0.15,0.14311920421285432,-0.1904122733975137,0.05320920868652877,0.01192599646948581,12.0
2.0,0.15,0.14311920421285432,-0.1904122733975137,0.17039800284622325,-0.2301220193302062,12.0
0.0,0.15,0.1304458056773149,-0.17277410465817883,-1.0,-1.0,13.0
1.0,0.15,0.1304458056773149,-0.17277410465817883,0.07206775310725205,0.0022185344400437314,13.0
2.0,0.15,0.1304458056773149,-0.17277410465817883,0.15132024072142863,-0.1810170380982514,13.0
0.0,0.15,-0.2319148262633478,0.11551146203429558,-1.0,-1.0,14.0
1.0,0.15,-0.2319148262633478,0.11551146203429558,0.06500919418862863,0.02093501024815099,14.0
2.0,0.15,-0.2319148262633478,0.11551146203429558,-0.25764939483544036,0.11023141618499335,14.0
0.0,0.15,0.08798296512857404,0.5050904680819654,-1.0,-1.0,15.0
1.0,0.15,0.08798296512857404,0.5050904680819654,0.03074062566277619,-0.014660190308663086,15.0
2.0,0.15,0.08798296512857404,0.5050904680819654,0.061462926050982136,0.47385098253255187,15.0
0.0,0.15,-0.2199571192121488,-0.38194913727322655,-1.0,-1.0,16.0
1.0,0.15,-0.2199571192121488,-0.38194913727322655,0.04103194201179049,-0.016897207485399093,16.0
2.0,0.15,-0.2199571192121488,-0.38194913727322655,-0.1824121517619583,-0.35504430366653866,16.0
0.0,0.15,-0.40502354625131043,0.24221279961199477,-1.0,-1.0,17.0
1.0,0.15,-0.40502354625131043,0.24221279961199477,0.01366919697760631,-0.011032686269866872,17.0
2.0,0.15,-0.40502354625131043,0.24221279961199477,-0.31228562332639914,0.1944457467497777,17.0
3.0,0.15,-0.40502354625131043,0.24221279961199477,-0.43113638296124585,0.2593286077752522,17.0
0.0,0.15,-0.22727139645640565,0.2946231485409358,-1.0,-1.0,18.0
1.0,0.15,-0.22727139645640565,0.2946231485409358,0.0520387559850861,0.025569081145251568,18.0
