#{"t_start": 1651051715.872973, "env_id": null}
r,l,t
-182.435698,151,53.384191
-671.736276,501,53.642752
-333.472777,210,53.751138
-683.660386,501,54.014385
-314.596261,192,54.113867
-273.901962,145,54.188488
-168.131956,109,54.245066
-1.828591,1,54.245774
-263.462486,202,55.082513
-210.324617,161,55.165542
-121.74771,100,55.216918
-563.595026,403,55.424777
-145.824319,125,55.489594
-1116.835224,501,55.748927
-539.534915,501,56.007737
-92.306932,83,56.05075
-103.366579,57,56.080233
-50.15664,34,56.097883
-123.519471,73,56.864982
-127.635617,119,56.926585
-477.812803,251,57.056328
-455.613034,334,57.229069
-109.856141,76,57.268671
-3.75146,3,57.270414
-168.679902,110,57.328045
-802.904051,501,57.587415
-351.984541,249,57.716554
-252.957009,292,57.866828
-100.473388,78,57.907035
-619.927454,340,58.811698
-305.392081,171,58.899863
-121.164008,96,58.949751
-221.349855,129,59.016837
-153.556921,119,59.078355
-303.097736,287,59.22675
-524.186145,501,59.4852
-109.468051,58,59.515068
-710.788964,444,60.487546
-149.386425,148,60.564102
-969.725995,501,60.82261
-610.427908,501,61.080847
-543.622891,438,61.30673
-30.993787,28,61.321322
-289.809657,213,61.431841
-90.1746,75,61.470719
-71.945301,56,61.500555
-521.031288,387,62.444912
-548.757956,304,62.60145
-75.179505,52,62.628627
-28.580685,21,62.6396
-201.52732,103,62.692948
-306.087152,205,62.79919
-172.661651,96,62.84883
-25.684064,19,62.858798
-97.018955,44,62.881578
-122.482675,96,62.931249
-476.118654,258,63.064645
-783.644057,433,63.288705
-902.57989,501,64.265511
-494.665819,238,64.388764
-583.948686,468,64.630816
-193.997325,308,64.793686
-996.512255,501,65.052387
-1231.665369,501,66.035455
-363.617374,268,66.174089
-445.838303,223,66.289533
-729.60199,501,66.548133
-473.51601,462,66.78628
-30.895458,22,66.797897
-111.852937,89,66.84375
-558.064493,390,67.774793
-21.871277,17,67.783736
-264.608603,224,67.899299
-655.66551,501,68.157769
-207.217712,106,68.213306
-165.940232,136,68.283434
-143.161632,116,68.343706
-159.489388,164,68.4337
-473.571298,254,68.564858
-142.008557,83,68.607805
-167.248194,106,69.385032
-539.720511,501,69.644215
-40.995992,34,69.662717
-332.566056,262,69.802239
-799.222735,420,70.018402
-106.354926,81,70.060902
-14.220241,13,70.067844
-79.698876,80,70.108954
-84.838758,74,70.147464
-315.054589,183,70.241472
-163.881898,117,70.301802
-483.657473,348,71.210978
-605.93902,470,71.454153
-367.485854,342,71.629674
-179.130894,121,71.692191
-828.842084,501,71.957032
-988.919924,501,72.220826
-542.026966,419,73.167031
-457.748008,319,73.332162
-284.786987,200,73.435587
-519.097219,294,73.587529
-713.859824,496,73.843223
-56.269814,34,73.861081
-123.790402,103,73.914311
-87.996351,103,73.9679
-385.043821,249,74.820072
-657.911323,457,75.057352
-200.138519,124,75.121424
-643.586353,501,75.379185
-68.547897,63,75.411848
-217.525292,126,75.477393
-564.838947,501,75.736238
-97.21376,85,75.780316
-886.64754,439,76.73552
-351.442165,282,76.880911
-133.061046,78,76.921094
-41.755196,31,76.937195
-95.475104,83,76.980063
-139.162686,102,77.032542
-15.608,10,77.037832
-442.081879,407,77.247784
-512.047465,341,77.424088
-751.501455,501,78.432001
-573.584814,367,78.621646
-115.236664,62,78.653747
-648.749659,501,78.912568
-179.929357,89,78.958783
-70.709235,44,78.982129
-36.811894,25,78.99518
-95.76711,64,79.028412
-203.878792,134,79.09777
-88.419949,72,79.134931
-264.77556,121,79.197884
-530.869704,330,79.369119
-60.840846,35,79.387333
-238.134076,160,80.203963
-75.772265,53,80.23132
-12.094617,9,80.236113
-334.654188,246,80.362997
-410.236705,288,80.510792
-397.070975,314,80.673282
-128.643713,90,80.720599
-101.852827,85,80.764327
-73.534807,56,80.793203
-776.267783,353,80.978849
-173.057712,106,81.0337
-65.643663,47,81.058004
-500.696606,286,81.206163
-275.017173,341,82.113731
-242.561784,188,82.211193
-770.569878,501,82.478559
-140.289288,135,82.548226
-571.57828,501,82.806174
-313.211247,227,82.922984
-355.094128,220,83.957002
-563.463271,410,84.2157
-11.916761,10,84.22705
-109.314511,99,84.278551
-248.962878,186,84.374854
-411.976699,319,84.54087
-125.023701,90,84.587692
-753.489905,501,84.847509
-326.282063,229,84.965594
-164.118769,84,85.009422
-152.589359,107,85.803168
-17.788048,11,85.809021
-51.933488,40,85.829858
-281.263543,180,85.923587
-422.514302,279,86.068558
-104.951833,84,86.112193
